"Codi_Districte","Nom_Districte","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"4","Les Corts","50-55 dB","8.73%","10.61%","19.50%","8.41%","8.73%","10.58%","19.70%","8.30%","6.26%","6.45%","4.71%","6.50%","0.50%","0.49%","0.37%","0.79%","0.00%","0.00%","0.00%","0.00%","0.05%","0.03%","0.78%","1.28%","0.00%","0.00%"
"4","Les Corts","55-60 dB","17.98%","19.94%","18.95%","13.88%","16.16%","19.27%","18.49%","12.57%","5.44%","4.69%","3.47%","6.06%","0.38%","0.36%","0.00%","0.38%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.79%","0.73%","0.00%"
"4","Les Corts","60-65 dB","21.95%","19.38%","15.45%","23.29%","21.19%","18.75%","15.42%","22.60%","3.65%","3.40%","5.46%","4.29%","0.00%","0.00%","0.00%","0.26%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.39%","0.38%","0.00%"
"4","Les Corts","65-70 dB","13.68%","15.39%","2.00%","15.87%","13.66%","15.39%","2.00%","15.82%","3.20%","5.36%","1.11%","2.86%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","70-75 dB","9.52%","2.52%","0.00%","11.98%","9.52%","2.52%","0.00%","12.03%","4.34%","1.30%","0.00%","5.22%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts","75-80 dB","0.00%","0.00%","0.00%","0.72%","0.00%","0.00%","0.00%","0.68%","0.00%","0.00%","0.00%","0.58%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"4","Les Corts",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"5","Sarrià-Sant Gervasi","<40 dB","1.64%","3.72%","28.66%","0.94%","1.79%","4.08%","29.65%","0.97%","54.69%","63.64%","80.86%","44.08%","98.71%","99.00%","99.39%","98.32%","100.00%","100.00%","100.00%","100.00%","93.67%","94.77%","92.75%","91.08%","96.62%","99.81%"
"5","Sarrià-Sant Gervasi","40-45 dB","12.69%","22.32%","13.56%","7.13%","16.60%","24.74%","13.09%","9.57%","21.53%","17.05%","6.38%","26.73%","0.60%","0.50%","0.36%","0.82%","0.00%","0.00%","0.00%","0.00%","3.40%","3.29%","1.49%","0.00%","0.00%","0.19%"
"5","Sarrià-Sant Gervasi","45-50 dB","17.07%","12.89%","11.73%","19.93%","21.03%","13.72%","12.10%","24.78%","9.80%","6.57%","3.67%","13.06%","0.38%","0.33%","0.15%","0.43%","0.00%","0.00%","0.00%","0.00%","2.11%","1.55%","0.64%","0.00%","0.00%","0.00%"
